TYTUL1;Lokalizacja;TYTUL2;CATEGORIA
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; IKEA Retail Sp. z o.o.-;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; LIDL PULAWSKA;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; SGB;BANKOMAT
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Poczta Polska;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ANEMAR;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; WWW.GOSIR-PIASECZNO.PL;INNE
P³atnoœæ kart¹; Kraj; RENATA LUKASIEWICZ;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; ABC JULITA SOKOLOWSKA R;Zakupy Spozywcze
Przelew na rachunek; JAMRO¯ JACEK;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; APTEKA PATICARIUS 01;APTEKA
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; Regent Ogrodowa;INNE
P³atnoœæ kart¹; Kraj; ULIMED;INNE
P³atnoœæ kart¹; Kraj;" APTEKA ""BEATA""";APTEKA
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; ROSSMANN 34;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; ULIMED;INNE
P³atnoœæ kart¹; Kraj; Atelkom Sp.J. Piaseczn;INNE
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; McDonalds 38;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ULIMED;INNE
P³atnoœæ kart¹; Kraj; JMP S.A. BIEDRONKA 436;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" APTEKA ""BEATA""";APTEKA
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ULIMED;INNE
P³atnoœæ kart¹; Kraj; McDonalds 38;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Starbucks 12;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPOLEM WOLA SKLEP NR 1;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SPOLEM WOLA SKLEP NR 1;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
Wyp³ata w bankomacie - kod mobilny; Kraj; AL. SOLIDARNOSCI 92;BANKOMAT
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
Przelew z rachunku; SKY CASH;;OP£ATY RÓ¯NE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; U ZRODLA SP. Z O.O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; WWW.GOSIR-PIASECZNO.PL;INNE
P³atnoœæ kart¹; Kraj; H AND M PIASECZNO 2;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; QUICK ASIAN CUISINE;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; WWW.GOSIR-PIASECZNO.PL;INNE
P³atnoœæ kart¹; Kraj; PISTACCIO RESTAURANT;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KIOSK;INNE
Wyp³ata z bankomatu; Kraj; PLDL0976;BANKOMAT
P³atnoœæ kart¹; Kraj; New Gastro;BARY RESTAURACJE OUTDOOR
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Op³ata;;;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; EWROB S.C.;INNE
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
Polecenie Zap³aty; PGNIG OBRÓT DETALICZNY SPÓ£KA Z OGR ANICZON¥ ODPOWIEDZIALNOŒCI¥;;INNE
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; SKY CASH;;OP£ATY RÓ¯NE
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
Przelew z rachunku; AMEX;;OP£ATY RÓ¯NE
Przelew na rachunek; PIOTR GRZELA;;WYNAGRODZENIA I UZNANIA
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. UL. SZTURMOWA;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; WWW.GOSIR-PIASECZNO.PL;INNE
P³atnoœæ kart¹; Kraj; H AND M PIASECZNO 2;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; EURO-NET SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; FLUNCH;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ALDI SP. Z O.O. 122;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; K.A.J. Sp. z o.o. Aptek;INNE
P³atnoœæ kart¹; Kraj; PIZZA HOT ROBERT KECIE;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 505394173 ORANGE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; INTELIGO _DEP_ROZLICZEN;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MCDONALDS 049 W-WA 11 P;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; NORAUTO 701 II;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; MEDIA MARKT PIASECZNO;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; GUSTO ITALIA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EMPIK S.A.;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; CH AUCHAN;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; ul. Okulickiego;BANKOMAT
P³atnoœæ kart¹; Kraj; GOSPODARSTWO OGRODNICZE;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; APTEKA 02;APTEKA
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; SPP WARSZAWA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; ul. Okulickiego;BANKOMAT
P³atnoœæ kart¹; Kraj; SPP WARSZAWA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Goraco Polecam / Pulaws;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DANIEL ADAMSKI MALA GASTR;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
Przelew z rachunku; SKY CASH;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; Goraco Polecam / Pulaws;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EURO-NET SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; Goraco Polecam / Pulaws;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; New Gastro;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; RCWN0DD4;BANKOMAT
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew podatkowy; URZ¥D SKARBOWY;;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; ORLEN 90;PALIWO
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BP-KUJAWY 216;PALIWO
P³atnoœæ kart¹; Kraj; BM.PL OPL. AUTOSTRADA;INNE
P³atnoœæ kart¹; Kraj; BM.PL OPL. AUTOSTRADA;INNE
P³atnoœæ kart¹; Kraj; MCDONALDS 049 W-WA 11 P;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; ORLEN;PALIWO
P³atnoœæ kart¹; Kraj; Leroy Merlin Rumia;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AMIC Polska Sp. z o. 04;PALIWO
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; CIRCLE K WARSZAWA;PALIWO
P³atnoœæ kart¹; Kraj; c+c DELIKOMAT  SP. Z O. O;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; c+c DELIKOMAT  SP. Z O. O;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; RUCH 963520;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; SPP WARSZAWA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; JMP S.A. BIEDRONKA 3776;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; Warszawa Srodmiescie 01;INNE
P³atnoœæ kart¹; Kraj; SPORTFOOD AUTOMATY;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; PLDN4291;BANKOMAT
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; IMA PHARMA SP.Z O.O.;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; BNP PARIBAS GRZYBOWSKA 78;BANKOMAT
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 62 A;BANKOMAT
P³atnoœæ kart¹; Kraj; SMYK SPOLKA AKCYJNA;ODZIEZ I OBUWIE
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; WWW.GOSIR-PIASECZNO.PL;INNE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; RCWN0DD4;BANKOMAT
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; ul. Pulawska 46;BANKOMAT
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; JMP S.A. BIEDRONKA 3776;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SMYK SPOLKA AKCYJNA;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; WWW.GOSIR-PIASECZNO.PL;INNE
Przelew z rachunku; MACIEJ KWIATKOWSKI;;OP£ATY RÓ¯NE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; NORAUTO 701 II;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  01;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
P³atnoœæ kart¹; Kraj; UBER   *TRIP;INNE
P³atnoœæ kart¹; Kraj; UBER   *TRIP;INNE
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; Poczta Polska;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; KSIEGARNIE SWIAT KSIAZ;INNE
P³atnoœæ kart¹; Kraj; BP-PIASECZNO 307;PALIWO
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; NORAUTO 701 II;SAMOCHODY I KOMUNIKACJA
Wyp³ata z bankomatu; Kraj; RCNN0Z62;BANKOMAT
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; LFO DESIGNER OUTLET PI;INNE
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ALDI SP. Z O.O. 122;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BAGATELLE P;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; C+C DELIKOMAT SP. Z O. O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; C+C DELIKOMAT SP. Z O. O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; C+C DELIKOMAT SP. Z O. O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
P³atnoœæ kart¹; Kraj; Lodziarnia;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Goraco Polecam / Pulaws;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Goraco Polecam / Pulaws;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; IMA PHARMA SP.Z O.O.;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew z rachunku; MA£GORZATA JAKUBCZYK;;OP£ATY RÓ¯NE
Przelew z rachunku; MAREK WOJNO;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Op³ata;;;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; AUTOMATY UVP;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; RENATA LUKASIEWICZ;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; SZKOLNA KASA;;OP£ATY RÓ¯NE
Przelew z rachunku; BARBARA KWIATKOWSKA;;OP£ATY RÓ¯NE
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; LESZNOWOLSKIE PRZEDSIÊBIORSTWO KOMU NALNE S.A.;;OP£ATY RÓ¯NE
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PIEROGI DOMOWE PAULINA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; JYSK SP. Z O.O.;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
Naliczenie odsetek;;;INNE
Obci¹¿enie;;;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FRESHMARKET Z8138 K.1;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Lodziarnia;BARY RESTAURACJE OUTDOOR
Zlecenie sta³e; ABAX BIURO KSIÊGOWE BO¯ENA BARTUZI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; Sklep McDonalds Warszaw;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.COM;INNE
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
Wyp³ata z bankomatu; Kraj; ul. Pulawska 46;BANKOMAT
Wyp³ata z bankomatu; Kraj; UL.PULAWSKA 46;BANKOMAT
Przelew z rachunku; TUIR ALLIANZ;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; SODEXO Restauracja U 01;BARY RESTAURACJE OUTDOOR
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
